Relate,Relate
Up-sell,Up-sell
Cross-sell,Cross-sell
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
General,General
Enable,Enable
Title,Title
"Number of Items","Number of Items"
Type,Type
