"Order Attachment","Order Attachment"
"Download File: ","Download File: "
"No uploaded file","No uploaded file"
"Update File","Update File"
Submit,Submit
Accept,Accept
"Limited Size","Limited Size"
General,General
Enable,Enable
Title,Title
"Path to upload","Path to upload"
"Required Field","Required Field"
"File Extensions","File Extensions"
"Limited file size (MB)","Limited file size (MB)"
